SNo,City,Province/State,Latitude,Longitude,population
1,Agartala,Tripura,23.5,91.16,3673917
2,Agra,Uttar Pradesh,27.11,78.01,199812341
3,Ahmedabad,Gujarat,23.03,72.35,60439692
4,Amritsar,Punjab,31.38,74.51,27743338
5,Bangalore,Karnataka,12.58,77.34,61095297
6,Chandigarh,punjab,30.45,76.47,27743338
7,Chennai (Madras),Tamil Nadu,13.05,80.16,72147030
8,Dibrugarh,Assam,27.29,95,31205576
9,Gangtok,Sikkim,27.2,88.37,610577
10,Guwahati,Assam,26.11,91.44,31205576
11,Hyderabad,Andhra Pradesh,17.22,78.29,49506799
12,Jaipur,Rajasthan,26.56,75.49,68548437
13,Kandla,Gujarat,23.03,70.11,60439692
14,Kanpur,Uttar Pradesh,26.28,80.2,199812341
15,Kochi,Kerala,9.58,76.17,33406061
16,Kolkata (Calcutta),West Bengal,22.34,88.22,91276115
17,Kulpahar,Uttar Pradesh,25.19,79.38,199812341
18,Lucknow,Uttar Pradesh,26.51,80.57,199812341
19,Ludhiana,Punjab,30.55,75.51,27743338
20,Mumbai (Bombay),Maharashtra,18.5,72.5,112374333
21,Nagpur,Maharashtra,21.08,79.05,112374333
22,New Delhi,Delhi,28.37,77.13,29399141
23,Patna,Bihar,25.58,85.09,104099452
24,Port Blair,Andaman and Nicobar Islands,11.4,92.46,427246
25,Pune,Maharashtra,18.31,73.51,112374333
26,Shillong,Meghalaya,25.34,91.53,2966889
27,Shimla,Himachal Pradesh,31.06,77.1,6864602
28,Siliguri,West Bengal,26.43,88.26,91276115
29,Srinagar,Jammu and Kashmir,34.05,74.47,12541302
30,Surat,Gujarat,21.1,72.5,60439692
31,Tezpur,Assam,26.38,92.48,31205576
32,Trivandrum,Kerala,8.29,76.57,33406061
33,Visakhapatnam,Andhra Pradesh,17.41,83.13,49506799
,,,,,
"For more information, kindly visit :  www.downloadexcelfiles.com ",,,,,
